Year,Country,Agency,Records,Organization type,Method
2025,Pakistan,Federal Board of Revenue,"150 GB data containing CNICs, names, phone numbers, addresses and tax records.",Financial,Hacking
2025,Pakistan,Habib Bank Limited,"Employee records, bank account details, education history, salaries data.",Financial,Hacking
2024,Australia,Western Sydney University,"7,500, including email accounts, SharePoint files, and the Microsoft Office 365 environment",Academic,Hacking
2024,UK,Transport for London,"5000+ Passengers data including home addresses, bank account details, unconfirmed number of Staff data leaked too",Other,Hacking
2024,UK,England and Wales Cricket Board,43299,Government,Other
2024,UK,NHS Dumfries and Galloway,still unknown,Healthcare,Hacking
2024,UK,BBC,"25,290 employee pension records, including name, date of birth, home address, national insurance number",Other,Hacking
2024,Netherlands,National Police Corps of the Netherlands,"63,000+ staff members data including names, email addresses, phone numbers",Government,Hacking
2023,Bangladesh,"Office of the Registrar General, Birth & Death Registration","50,000,000+",Government,Misconfiguration
2023,USA,Consumer Financial Protection Bureau,256000,Government,Misconfiguration
2023,UK,British Library,unknown,Government,Other
2023,Bangladesh,Cox's BazarPolice and Khulna Metropolitan Police,270000,Government,Hacking
2023,India,Indian Council of Medical Research,"815,000,000+, including Aadhaar IDs, passport details, names, phone numbers, addresses",Government,Hacking
2023,Philippines,"Various law enforcement agencies (Philippine National Police, National Bureau of Investigation, Bureau of Internal Revenue)",1279437,Government,Misconfiguration
2023,Indonesia,Directorate General of Population and Civil Registration (Dukcapil),337225463,Government,Hacking
2023,Indonesia,Directorate General of Immigration of Indonesia,34900867,Government,Hacking
2022,USA,California Department of Corrections and Rehabilitation,"236,000 inmates personally identifiable information (PII) and protected health information (PHI)",Government,Other
2022,Russia,Roscosmos,"handwritten forms, PDFs, spreadsheets, descriptions of lunar missions.",Other,Hacking
2022,China,Shanghai National Police Database,"1,000,000,000, including name, address, birthplace, national ID number, mobile number, all crime/case details",Government,Misconfiguration
2021,Ireland,Health Service Executive,unknown,Healthcare,Other
2021,United Nations,?,unknown,Other,Hacking
2020,USA,Various,TBC,Military,Hacking
2020,Australia,Service NSW,104000,Government,Hacking
2020,Slovakia,National Health Information Center (NCZI) of Slovakia,391250,Healthcare,Misconfiguration
